"372";"smss.exe";"\Device\HarddiskVolume1\WINDOWS\system32\smss.exe"
"612";"winlogon.exe";"\Device\HarddiskVolume1\WINDOWS\system32\winlogon.exe"
"656";"services.exe";"\Device\HarddiskVolume1\WINDOWS\system32\services.exe"
"668";"lsass.exe";"\Device\HarddiskVolume1\WINDOWS\system32\lsass.exe"
"824";"VBoxService.exe";"\Device\HarddiskVolume1\WINDOWS\system32\VBoxService.exe"
"868";"svchost.exe";"\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe"
"1052";"svchost.exe";"\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe"
"1088";"svchost.exe";"\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe"
"1320";"explorer.exe";"\Device\HarddiskVolume1\WINDOWS\explorer.exe"
"1680";"spoolsv.exe";"\Device\HarddiskVolume1\WINDOWS\system32\spoolsv.exe"
"1828";"VBoxTray.exe";"\Device\HarddiskVolume1\WINDOWS\system32\VBoxTray.exe"
"1876";"ctfmon.exe";"\Device\HarddiskVolume1\WINDOWS\system32\ctfmon.exe"
"412";"MDM.EXE";"\Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\VS7DEBUG\MDM.EXE"
"632";"svchost.exe";"\Device\HarddiskVolume1\WINDOWS\system32\svchost.exe"
"312";"cmd.exe";"\Device\HarddiskVolume1\WINDOWS\system32\cmd.exe"
"3624";"jqs.exe";"\Device\HarddiskVolume1\Program Files\Java\jre7\bin\jqs.exe"
"3224";"java.exe";"\Device\HarddiskVolume1\WINDOWS\system32\java.exe"
